director_name,genres,movie_title,comb
Danny Boyle,Drama Horror Sci-Fi Thriller,28 days later...,Noah Huntley Megan Burns David Schneider Danny Boyle Drama Horror Sci-Fi Thriller
Chris Stokes,Drama Music,you got served,Jennifer Freeman Marques Houston Steve Harvey Chris Stokes Drama Music
Don Siegel,Biography Crime Drama,escape from alcatraz,Clint Eastwood Patrick McGoohan Fred Ward Don Siegel Biography Crime Drama
Rick Famuyiwa,Comedy Drama Music Romance,brown sugar,Boris Kodjoe Sanaa Lathan Wendell Pierce Rick Famuyiwa Comedy Drama Music Romance
Martin Lawrence,Comedy Crime Drama Romance Thriller,a thin line between love and hate,Faizon Love Lynn Whitfield Della Reese Martin Lawrence Comedy Crime Drama Romance Thriller
Jonathan Levine,Comedy Drama Romance,50/50,Joseph Gordon-Levitt Anna Kendrick Bryce Dallas Howard Jonathan Levine Comedy Drama Romance
Masayuki Ochiai,Horror Mystery Thriller,shutter,James Kyson David Denman Daisy Betts Masayuki Ochiai Horror Mystery Thriller
George A. Romero,Comedy Fantasy Horror,creepshow,Ted Danson Hal Holbrook Adrienne Barbeau George A. Romero Comedy Fantasy Horror
Tom Gormican,Comedy Romance,that awkward moment,Mackenzie Davis Lola Glaudini Josh Pais Tom Gormican Comedy Romance
Ken Shapiro,Comedy Fantasy Sci-Fi,modern problems,Brian Doyle-Murray Dabney Coleman Mary Kay Place Ken Shapiro Comedy Fantasy Sci-Fi
Justin Tipping,Adventure,kicks,Tina Gilton Natalie Stephany Aguilar Justin Hall Justin Tipping Adventure
Kenneth Branagh,Comedy Drama Romance,much ado about nothing,Keanu Reeves Denzel Washington Brian Blessed Kenneth Branagh Comedy Drama Romance
Peter R. Hunt,Action Adventure Thriller,on her majesty's secret service,Telly Savalas George Lazenby Desmond Llewelyn Peter R. Hunt Action Adventure Thriller
unknown,Action Crime Drama Thriller,the player            ,Nick Wechsler Philip Winchester Jeff Marlow unknown Action Crime Drama Thriller
Wes Craven,Fantasy Horror Mystery Thriller,new nightmare,Miko Hughes Heather Langenkamp Tracy Middendorf Wes Craven Fantasy Horror Mystery Thriller
John Schultz,Comedy Drama Romance,drive me crazy,Stephen Collins Mark Webber Keri Lynn Pratt John Schultz Comedy Drama Romance
Doug Atchison,Drama,akeelah and the bee,Curtis Armstrong Sean Michael Afable Tzi Ma Doug Atchison Drama
Tamra Davis,Comedy Crime,half baked,Dave Chappelle Harland Williams Clarence Williams III Tamra Davis Comedy Crime
Jonas Elmer,Comedy Romance,new in town,J.K. Simmons Frances Conroy Harry Connick Jr. Jonas Elmer Comedy Romance
Stephen Gaghan,Drama Thriller,syriana,Matt Damon Amr Waked Kayvan Novak Stephen Gaghan Drama Thriller
Mary Harron,Crime Drama,american psycho,Christian Bale Justin Theroux Samantha Mathis Mary Harron Crime Drama
Miguel Arteta,Drama Romance,the good girl,Jake Gyllenhaal Zooey Deschanel Tim Blake Nelson Miguel Arteta Drama Romance
Erik Canuel,Action Comedy Crime Thriller,bon cop bad cop,Colm Feore Richard Howland Sarain Boylan Erik Canuel Action Comedy Crime Thriller
Troy Duffy,Action Crime Thriller,the boondock saints ii: all saints day,Norman Reedus Julie Benz Clifton Collins Jr. Troy Duffy Action Crime Thriller
James Ivory,Drama Romance,the city of your final destination,Alexandra Maria Lara Omar Metwally Diego Velazquez James Ivory Drama Romance
Nicole Holofcener,Comedy Drama Romance,enough said,Christopher Nicholas Smith Ben Falcone Michaela Watkins Nicole Holofcener Comedy Drama Romance
Will Gluck,Comedy Romance,easy a,Emma Stone Dan Byrd Fred Armisen Will Gluck Comedy Romance
Matty Rich,Comedy Drama Romance,the inkwell,Jada Pinkett Smith Joe Morton Larenz Tate Matty Rich Comedy Drama Romance
E. Elias Merhige,Drama Horror,shadow of the vampire,Eddie Izzard Udo Kier Catherine McCormack E. Elias Merhige Drama Horror
Joe Nussbaum,Comedy Drama,prom,Cameron Monaghan Thomas McDonell Aimee Teegarden Joe Nussbaum Comedy Drama
Matt Reeves,Comedy Romance,the pallbearer,Mark Margolis Michael Rapaport Carol Kane Matt Reeves Comedy Romance
Steve Rash,Comedy,held up,Barry Corbin Nia Long Jake Busey Steve Rash Comedy
Fina Torres,Comedy Fantasy Romance,woman on top,Harold Perrineau John de Lancie Mark Feuerstein Fina Torres Comedy Fantasy Romance
James Ivory,Drama Romance,howards end,Anthony Hopkins Vanessa Redgrave Samuel West James Ivory Drama Romance
unknown,Adventure Drama Fantasy Mystery,preacher            ,Dominic Cooper Joseph Gilgun Ruth Negga unknown Adventure Drama Fantasy Mystery
Duke Johnson,Animation Comedy Drama Romance,anomalisa,Jennifer Jason Leigh Tom Noonan David Thewlis Duke Johnson Animation Comedy Drama Romance
Mike Leigh,Comedy Drama,another year,Jim Broadbent Imelda Staunton Phil Davis Mike Leigh Comedy Drama
François Ozon,Comedy Crime Musical Romance,8 women,Catherine Deneuve Isabelle Huppert Emmanuelle Béart François Ozon Comedy Crime Musical Romance
Mark L. Lester,Action Comedy Crime Thriller,showdown in little tokyo,Cary-Hiroyuki Tagawa Tia Carrere Vernee Watson Mark L. Lester Action Comedy Crime Thriller
David Dobkin,Comedy Crime,clay pigeons,Janeane Garofalo Vince Vieluf Kevin Rahm David Dobkin Comedy Crime
Anna Boden,Comedy Drama Romance,it's kind of a funny story,Zoë Kravitz Jeremy Davies Jim Gaffigan Anna Boden Comedy Drama Romance
Nigel Cole,Biography Comedy Drama History,made in dagenham,Bob Hoskins Robbie Kay Sally Hawkins Nigel Cole Biography Comedy Drama History
Anand Tucker,Biography Drama,when did you last see your father?,Colin Firth Jim Broadbent Gina McKee Anand Tucker Biography Drama
Steve James,Biography Drama Romance Sport,prefontaine,Kurtwood Smith Laurel Holloman Amy Locane Steve James Biography Drama Romance Sport
Michael Winner,Adventure Drama,the wicked lady,Faye Dunaway Marina Sirtis John Gielgud Michael Winner Adventure Drama
Tomm Moore,Adventure Animation Family Fantasy,the secret of kells,Sean Lennon Mick Lally Evan McGuire Tomm Moore Adventure Animation Family Fantasy
John Carney,Drama Music,begin again,James Corden Karen Pittman Mary Catherine Garrison John Carney Drama Music
David Jacobson,Drama Romance Thriller,down in the valley,Hunter Parrish Bruce Dern Rory Culkin David Jacobson Drama Romance Thriller
Michael Corrente,Crime Drama,brooklyn rules,Jerry Ferrara Tony Devon Alexa Havins Michael Corrente Crime Drama
Edward Hall,Drama Romance,restless,Rufus Sewell Hayley Atwell Charlotte Rampling Edward Hall Drama Romance
Keith Gordon,Comedy Crime Musical Mystery,the singing detective,Robert Downey Jr. Robin Wright Alfre Woodard Keith Gordon Comedy Crime Musical Mystery
David Leland,Drama Romance War,the land girls,Anna Friel Catherine McCormack Steven Mackintosh David Leland Drama Romance War
Andrew Currie,Comedy Drama Horror Sci-Fi,fido,Alexia Fast Henry Czerny Kesun Loder Andrew Currie Comedy Drama Horror Sci-Fi
Andrew Wilson,Comedy Drama Romance,the wendell baker story,Will Ferrell Eddie Griffin Jacob Vargas Andrew Wilson Comedy Drama Romance
Jonathan Lynn,Action Comedy Crime,wild target,Rupert Grint Rupert Everett Geoff Bell Jonathan Lynn Action Comedy Crime
Marc Schölermann,Crime Horror Thriller,pathology,John de Lancie Larry Drake Johnny Whitworth Marc Schölermann Crime Horror Thriller
unknown,Drama Romance,wuthering heights            ,Tom Hardy Jack O'Connell Kevin McNally unknown Drama Romance
Robert Moresco,Crime Drama Thriller,10th & wolf,Brian Dennehy Brad Renfro Dash Mihok Robert Moresco Crime Drama Thriller
Thomas Vinterberg,Comedy Crime Drama Romance,dear wendy,Michael Angarano Chris Owen William Hootkins Thomas Vinterberg Comedy Crime Drama Romance
Claudia Llosa,Drama,aloft,Ian Tracey Zen McGrath William Shimell Claudia Llosa Drama
Katsuhiro Ôtomo,Action Animation Sci-Fi,akira,Mitsuo Iwata Takeshi Kusao Tesshô Genda Katsuhiro Ôtomo Action Animation Sci-Fi
John Herzfeld,Action Crime Thriller,the death and life of bobby z,Paul Walker Olivia Wilde Jason Flemyng John Herzfeld Action Crime Thriller
Charles Binamé,Biography Drama Sport,the rocket: the legend of rocket richard,Stephen McHattie Roy Dupuis Julie LeBreton Charles Binamé Biography Drama Sport
Keith Parmer,Action Crime Drama Thriller,swelter,Rachel Ann Mullins Josh Henderson Grant Bowler Keith Parmer Action Crime Drama Thriller
Dennie Gordon,Action Adventure Comedy Romance,my lucky star,Leehom Wang Ruby Lin Jack Kao Dennie Gordon Action Adventure Comedy Romance
Ol Parker,Comedy Drama Romance,imagine me & you,Celia Imrie Ben Miles Darren Boyd Ol Parker Comedy Drama Romance
Bruce Beresford,Drama,mr. church,Mckenna Grace Lucy Fry Natalie Coughlin Bruce Beresford Drama
François Ozon,Crime Drama Mystery Thriller,swimming pool,Charlotte Rampling Ludivine Sagnier Jean-Claude Lecas François Ozon Crime Drama Mystery Thriller
James Nunn,Action Drama,green street 3: never back down,Spencer Wilding Mark Wingett Kacey Clarke James Nunn Action Drama
David Webb Peoples,Action Sci-Fi Sport,the blood of heroes,Delroy Lindo Joan Chen Anna Katarina David Webb Peoples Action Sci-Fi Sport
Michael Winnick,Action,code of honor,Scott Takeda Helena Mattsson Craig Sheffer Michael Winnick Action
Bruce Beresford,Comedy Drama Family,driving miss daisy,Morgan Freeman Jessica Tandy Patti LuPone Bruce Beresford Comedy Drama Family
George Tillman Jr.,Comedy Drama,soul food,Vanessa Williams Mekhi Phifer Vivica A. Fox George Tillman Jr. Comedy Drama
Stanley Tong,Action Comedy,rumble in the bronx,Françoise Yip Anita Mui Garvin Cross Stanley Tong Action Comedy
David Oelhoffen,Drama War Western,far from men,Viggo Mortensen Reda Kateb Ángela Molina David Oelhoffen Drama War Western
Jason Reitman,Comedy Drama,thank you for smoking,J.K. Simmons Cameron Bright Todd Louiso Jason Reitman Comedy Drama
Eli Roth,Horror,hostel: part ii,Jay Hernandez Lauren German Stanislav Ianevski Eli Roth Horror
Lone Scherfig,Drama,an education,Dominic Cooper Olivia Williams Ellie Kendrick Lone Scherfig Drama
Anand Tucker,Drama Romance,shopgirl,Frances Conroy Bridgette Wilson-Sampras Clyde Kusatsu Anand Tucker Drama Romance
Tony Richardson,Comedy Drama Romance,the hotel new hampshire,Joely Richardson Beau Bridges Nastassja Kinski Tony Richardson Comedy Drama Romance
Joe Carnahan,Crime Drama Mystery Thriller,narc,Jason Patric Chi McBride Alan Van Sprang Joe Carnahan Crime Drama Mystery Thriller
Paul Gross,Comedy Drama Romance Sport,men with brooms,Molly Parker Paul Gross Kari Matchett Paul Gross Comedy Drama Romance Sport
Charles Robert Carner,Comedy Crime,witless protection,Ivana Milicevic Jenny McCarthy Richard Bull Charles Robert Carner Comedy Crime
Russell Holt,Drama Romance,the work and the glory,Eric Johnson Brenda Strong Tiffany Dupont Russell Holt Drama Romance
Mike Judge,Comedy Crime Romance,extract,J.K. Simmons Mila Kunis Clifton Collins Jr. Mike Judge Comedy Crime Romance
Larry Charles,Comedy Drama Music,masked and anonymous,Jeff Bridges Cheech Marin Bruce Dern Larry Charles Comedy Drama Music
Claude Miller,Comedy Crime Drama Romance Thriller,alias betty,Sandrine Kiberlain Edouard Baer Roschdy Zem Claude Miller Comedy Crime Drama Romance Thriller
Michael Winterbottom,Drama Romance Sci-Fi Thriller,code 46,Samantha Morton Om Puri Natalie Mendoza Michael Winterbottom Drama Romance Sci-Fi Thriller
Sacha Bennett,Comedy,outside bet,Bob Hoskins Jenny Agutter Vincent Regan Sacha Bennett Comedy
Paul Haggis,Crime Drama Thriller,crash,Don Cheadle Loretta Devine Jennifer Esposito Paul Haggis Crime Drama Thriller
Rodrigo García,Drama,albert nobbs,Mia Wasikowska Michael McElhatton Mark Williams Rodrigo García Drama
Jeta Amata,Action Crime Drama Thriller,black november,Akon Nathin Butler Razaaq Adoti Jeta Amata Action Crime Drama Thriller
Siddharth Anand,Comedy Family Romance,ta ra rum pum,Saif Ali Khan Mary Goggin Vic Aviles Siddharth Anand Comedy Family Romance
Vincent Paronnaud,Animation Biography Drama War,persepolis,Catherine Deneuve Gena Rowlands Danielle Darrieux Vincent Paronnaud Animation Biography Drama War
Joe Dante,Adventure Fantasy Thriller,the hole,Bruce Dern Teri Polo Haley Bennett Joe Dante Adventure Fantasy Thriller
Dennis Gansel,Drama Thriller,the wave,Max Riemelt Elyas M'Barek Jennifer Ulrich Dennis Gansel Drama Thriller
Nicolas Winding Refn,Horror Thriller,the neon demon,Keanu Reeves Bella Heathcote Charles Baker Nicolas Winding Refn Horror Thriller
Daniel Barber,Action Crime Drama Thriller,harry brown,Joseph Gilgun Jack O'Connell Sean Harris Daniel Barber Action Crime Drama Thriller
Sam Raimi,Action Adventure Romance,spider-man 3,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Romance
Robert Marcarelli,Action Adventure Fantasy Sci-Fi Thriller,the omega code,George Coe William Hootkins Ayla Kell Robert Marcarelli Action Adventure Fantasy Sci-Fi Thriller
Ernie Barbarash,Action Thriller,pound of flesh,Darren Shahlavi Aki Aleong Brahim Achabbakhe Ernie Barbarash Action Thriller
Guy Hamilton,Action Adventure Thriller,diamonds are forever,Desmond Llewelyn Lois Maxwell Jill St. John Guy Hamilton Action Adventure Thriller
Francis Ford Coppola,Crime Drama,the godfather,Al Pacino Marlon Brando Robert Duvall Francis Ford Coppola Crime Drama
Adrian Lyne,Drama Music Romance,flashdance,Michael Nouri Cynthia Rhodes Lee Ving Adrian Lyne Drama Music Romance
Marc Webb,Comedy Drama Romance,500 days of summer,Joseph Gordon-Levitt Chloë Grace Moretz Zooey Deschanel Marc Webb Comedy Drama Romance
Jane Campion,Drama Music Romance,the piano,Holly Hunter Ian Mune Geneviève Lemon Jane Campion Drama Music Romance
Steven Soderbergh,Comedy Drama,magic mike,Channing Tatum Alex Pettyfer Matthew McConaughey Steven Soderbergh Comedy Drama
Jonathan Liebesman,Horror Mystery Thriller,darkness falls,Sullivan Stapleton Emma Caulfield Angus Sampson Jonathan Liebesman Horror Mystery Thriller
Guy Hamilton,Action Adventure Thriller,live and let die,Yaphet Kotto Geoffrey Holder Clifton James Guy Hamilton Action Adventure Thriller
Jay Russell,Drama Family Sport,my dog skip,Clint Howard Frankie Muniz Cody Linley Jay Russell Drama Family Sport
Adam Brooks,Comedy Drama Romance,"definitely, maybe",Ryan Reynolds Sakina Jaffrey Paulina Gerzon Adam Brooks Comedy Drama Romance
Salim Akil,Comedy Drama,jumping the broom,Gary Dourdan Loretta Devine Laz Alonso Salim Akil Comedy Drama
Baz Luhrmann,Drama Romance,the great gatsby,Leonardo DiCaprio Elizabeth Debicki Steve Bisley Baz Luhrmann Drama Romance
George Clooney,Biography Drama History,"good night, and good luck.",Robert Downey Jr. Tate Donovan Alex Borstein George Clooney Biography Drama History
Bennett Miller,Biography Crime Drama,capote,Philip Seymour Hoffman Michael J. Burg Kwesi Ameyaw Bennett Miller Biography Crime Drama
Robert Rodriguez,Action Crime Thriller,desperado,Quentin Tarantino Steve Buscemi Salma Hayek Robert Rodriguez Action Crime Thriller
Michael Winterbottom,Drama Romance Western,the claim,Milla Jovovich Sarah Polley Shirley Henderson Michael Winterbottom Drama Romance Western
unknown,Crime Drama Thriller,fargo            ,Kirsten Dunst Adam Goldberg Oliver Platt unknown Crime Drama Thriller
Michael Anderson,Action Adventure Sci-Fi,logan's run,Farrah Fawcett Jenny Agutter Peter Ustinov Michael Anderson Action Adventure Sci-Fi
Guy Hamilton,Action Adventure Thriller,the man with the golden gun,Christopher Lee Hervé Villechaize Desmond Llewelyn Guy Hamilton Action Adventure Thriller
Craig R. Baxley,Action Comedy Crime Thriller,action jackson,Bill Duke Vanity Carl Weathers Craig R. Baxley Action Comedy Crime Thriller
Neil Marshall,Adventure Horror Thriller,the descent,MyAnna Buring Shauna Macdonald Craig Conway Neil Marshall Adventure Horror Thriller
Don Kempf,Documentary Sport,michael jordan to the max,Bill Murray Michael Jordan Bob Costas Don Kempf Documentary Sport
Matt Bettinelli-Olpin,Horror Mystery,devil's due,Zach Gilford Allison Miller Vanessa Ray Matt Bettinelli-Olpin Horror Mystery
David O. Russell,Comedy,flirting with disaster,Lily Tomlin Mary Tyler Moore David Patrick Kelly David O. Russell Comedy
Rob Zombie,Crime Horror,the devil's rejects,Sid Haig Ken Foree Lew Temple Rob Zombie Crime Horror
unknown,Action Drama Fantasy Romance,buffy the vampire slayer            ,Sarah Michelle Gellar Alyson Hannigan Emma Caulfield unknown Action Drama Fantasy Romance
Rick Famuyiwa,Comedy Crime Drama,dope,Kimberly Elise Rick Fox Kiersey Clemons Rick Famuyiwa Comedy Crime Drama
Michael Rymer,Crime Drama Thriller,in too deep,LL Cool J Omar Epps Nia Long Michael Rymer Crime Drama Thriller
Sam Mendes,Action Adventure Thriller,skyfall,Albert Finney Helen McCrory Rory Kinnear Sam Mendes Action Adventure Thriller
Rob Zombie,Horror,house of 1000 corpses,Sid Haig Matthew McGrory Erin Daniels Rob Zombie Horror
Sharron Miller,Horror,alien zone,Bernard Fox Elizabeth MacRae Charles Aidman Sharron Miller Horror
Ethan Coen,Comedy Drama,a serious man,Michael Stuhlbarg Fred Melamed Peter Breitmayer Ethan Coen Comedy Drama
Aaron Schneider,Drama Mystery,get low,Bill Murray Robert Duvall Bill Cobbs Aaron Schneider Drama Mystery
Steve Miner,Action Fantasy Horror Thriller,warlock,Julian Sands Richard E. Grant Lori Singer Steve Miner Action Fantasy Horror Thriller
Gina Prince-Bythewood,Drama Music,beyond the lights,Minnie Driver Nate Parker Darryl Stephens Gina Prince-Bythewood Drama Music
Tom Ford,Drama Romance,a single man,Colin Firth Teddy Sears Keri Lynn Pratt Tom Ford Drama Romance
Martin Scorsese,Drama,the last temptation of christ,Irvin Kershner Barbara Hershey Roberts Blossom Martin Scorsese Drama
Michael Corrente,Comedy Drama Romance,outside providence,Jonathan Brandis George Wendt Shawn Hatosy Michael Corrente Comedy Drama Romance
Gurinder Chadha,Comedy Drama Musical Romance,bride & prejudice,Indira Varma Martin Henderson Anupam Kher Gurinder Chadha Comedy Drama Musical Romance
Phillip Noyce,Adventure Biography Drama History,rabbit-proof fence,Roy Billing David Gulpilil Deborah Mailman Phillip Noyce Adventure Biography Drama History
Don Michael Paul,Comedy Sport,who's your caddy?,Jeffrey Jones Faizon Love Lil' Wayne Don Michael Paul Comedy Sport
Tony Maylam,Action Crime Horror Sci-Fi Thriller,split second,Michael J. Pollard Alun Armstrong Alastair Duncan Tony Maylam Action Crime Horror Sci-Fi Thriller
unknown,Action Crime Drama Thriller,nikita            ,Melinda Clarke Xander Berkeley Aaron Stanford unknown Action Crime Drama Thriller
Mitch Davis,Adventure Biography Drama,the other side of heaven,Anne Hathaway Nathaniel Lees Miriama Smith Mitch Davis Adventure Biography Drama
unknown,Action Drama Mystery Sci-Fi,dark angel            ,Jensen Ackles Ashley Scott John Savage unknown Action Drama Mystery Sci-Fi
Yash Chopra,Drama Musical Romance,veer-zaara,Shah Rukh Khan Preity Zinta Anupam Kher Yash Chopra Drama Musical Romance
David Mamet,Drama Sport,redbelt,Alice Braga Randy Couture Jose Pablo Cantillo David Mamet Drama Sport
Jay Duplass,Comedy Drama Romance,cyrus,Matt Walsh Tim Guinee Katie Aselton Jay Duplass Comedy Drama Romance
Kevin Brodie,Drama Family,a dog of flanders,Bruce McGill Cheryl Ladd Jack Warden Kevin Brodie Drama Family
Paul Schrader,Biography Crime Drama,auto focus,Ed Begley Jr. Michael McKean Kurt Fuller Paul Schrader Biography Crime Drama
George Hickenlooper,Biography Drama,factory girl,Hayden Christensen Jimmy Fallon Beth Grant George Hickenlooper Biography Drama
Lynne Ramsay,Drama Thriller,we need to talk about kevin,Ezra Miller Siobhan Fallon Hogan Ashley Gerasimovich Lynne Ramsay Drama Thriller
John Stephenson,Drama Family,the christmas candle,Samantha Barks Hans Matheson Lesley Manville John Stephenson Drama Family
Tim Chambers,Drama Sport,the mighty macs,Ellen Burstyn Marley Shelton Jennifer Butler Tim Chambers Drama Sport
Curtis Hanson,Comedy Drama Family,losin' it,Tom Cruise Shelley Long Rick Rossovich Curtis Hanson Comedy Drama Family
Rodrigo García,Drama Romance,mother and child,Naomi Watts Jimmy Smits Carla Gallo Rodrigo García Drama Romance
Dick Richards,Adventure Drama Romance War,march or die,Catherine Deneuve Terence Hill Jack O'Halloran Dick Richards Adventure Drama Romance War
Jean-Marie Poiré,Comedy Fantasy Sci-Fi,les visiteurs,Christian Clavier Isabelle Nanty Valérie Lemercier Jean-Marie Poiré Comedy Fantasy Sci-Fi
Sofia Coppola,Comedy Drama,somewhere,Nathalie Fay Chris Pontius Erin Wasson Sofia Coppola Comedy Drama
Bob Gosse,Comedy,i hope they serve beer in hell,Geoff Stults Susie Abromeit Derek Wayne Johnson Bob Gosse Comedy
Alex Zamm,Comedy,chairman of the board,Taylor Negron Raquel Welch Larry Miller Alex Zamm Comedy
Spencer Susser,Drama,hesher,Joseph Gordon-Levitt Natalie Portman Rainn Wilson Spencer Susser Drama
Richard Shepard,Comedy Crime Drama,dom hemingway,Richard E. Grant Mark Wingett Richard Graham Richard Shepard Comedy Crime Drama
Gus Van Sant,Adventure Drama Mystery,gerry,Matt Damon Casey Affleck unknown Gus Van Sant Adventure Drama Mystery
Thaddeus O'Sullivan,Drama Romance,the heart of me,Olivia Williams Luke Newberry Eleanor Bron Thaddeus O'Sullivan Drama Romance
Peter Sollett,Biography Drama Romance,freeheld,Steve Carell Josh Charles Luke Grimes Peter Sollett Biography Drama Romance
Shari Springer Berman,Comedy,the extra man,Lynn Cohen Marian Seldes Dan Hedaya Shari Springer Berman Comedy
Aleksey German,Drama Sci-Fi,hard to be a god,Leonid Yarmolnik Yuriy Tsurilo Valentin Golubenko Aleksey German Drama Sci-Fi
Stephen Milburn Anderson,Comedy Crime Thriller,ca$h,Chris Hemsworth Mike Starr Paul Sanchez Stephen Milburn Anderson Comedy Crime Thriller
Richard E. Grant,Drama,wah-wah,Emily Watson Julie Walters Miranda Richardson Richard E. Grant Drama
Troy Duffy,Action Crime Thriller,the boondock saints,Norman Reedus David Della Rocco Bob Marley Troy Duffy Action Crime Thriller
David Lam,Action Crime,z storm,Michael Wong Louis Koo Stephen Au David Lam Action Crime
Francis Ford Coppola,Comedy Fantasy Horror Mystery,twixt,Alden Ehrenreich Bruce Dern Joanne Whalley Francis Ford Coppola Comedy Fantasy Horror Mystery
Vladlen Barbe,Adventure Animation Family,snow queen,Erin Fitzgerald Wendee Lee Ivan Okhlobystin Vladlen Barbe Adventure Animation Family
Richard Rich,Action Adventure Animation Comedy Drama Family Fantasy Thriller,alpha and omega 4: the legend of the saw toothed cave,Debi Derryberry Kate Higgins Cindy Robinson Richard Rich Action Adventure Animation Comedy Drama Family Fantasy Thriller
Clint Eastwood,Western,pale rider,Clint Eastwood Chris Penn Sydney Penny Clint Eastwood Western
Robert C. Cooper,Action Adventure Drama Fantasy Sci-Fi,stargate: the ark of truth,Ben Browder Christopher Judge Julian Sands Robert C. Cooper Action Adventure Drama Fantasy Sci-Fi
Richard Linklater,Comedy,dazed and confused,Milla Jovovich Adam Goldberg Cole Hauser Richard Linklater Comedy
Kenny Ortega,Comedy Drama Family Music Musical Romance,high school musical 2,Lucas Grabeel Corbin Bleu Olesya Rulin Kenny Ortega Comedy Drama Family Music Musical Romance
Kim Nguyen,Drama Romance,two lovers and a bear,Gordon Pinsent Justin Edward Seale John Ralston Kim Nguyen Drama Romance
Jackie Earle Haley,Crime Drama Thriller,criminal activities,Rex Baker Edi Gathegi Travis Aaron Wade Jackie Earle Haley Crime Drama Thriller
Max Färberböck,Biography Drama Romance War,aimee & jaguar,Heike Makatsch Johanna Wokalek Maria Schrader Max Färberböck Biography Drama Romance War
Arie Posin,Comedy Drama,the chumscrubber,Rory Culkin John Heard Tim DeKay Arie Posin Comedy Drama
Damian Nieman,Crime Thriller,shade,Glenn Plummer Jason Cerbone Mark De Alessandro Damian Nieman Crime Thriller
Mark Tonderai,Drama Horror Thriller,house at the end of the street,Jennifer Lawrence Nolan Gerard Funk Gil Bellows Mark Tonderai Drama Horror Thriller
Denis Villeneuve,Drama Mystery War,incendies,Lubna Azabal Mélissa Désormeaux-Poulin Ahmad Massad Denis Villeneuve Drama Mystery War
Gabriele Muccino,Comedy Drama Romance,"remember me, my love",Laura Morante Silvio Muccino Giulia Michelini Gabriele Muccino Comedy Drama Romance
Ian Fitzgibbon,Action Comedy Crime Drama Romance Thriller,perrier's bounty,Jim Broadbent Brendan Coyle Michael McElhatton Ian Fitzgibbon Action Comedy Crime Drama Romance Thriller
José Padilha,Action Crime Drama Thriller,elite squad,Wagner Moura Fernanda Machado André Ramiro José Padilha Action Crime Drama Thriller
John R. Leonetti,Horror Mystery,annabelle,Alfre Woodard Annabelle Wallis Gabriel Bateman John R. Leonetti Horror Mystery
Rachel Perkins,Comedy Drama Musical,bran nue dae,Deborah Mailman Magda Szubanski Jessica Mauboy Rachel Perkins Comedy Drama Musical
John Singleton,Crime Drama,boyz n the hood,John Cothran Lloyd Avery II Na'Blonka Durden John Singleton Crime Drama
Luis Valdez,Biography Drama Music,la bamba,Esai Morales Rosanna DeSoto Danielle von Zerneck Luis Valdez Biography Drama Music
Alan Alda,Comedy Drama,the four seasons,Rita Moreno Len Cariou Sandy Dennis Alan Alda Comedy Drama
Brian De Palma,Mystery Romance Thriller,dressed to kill,Angie Dickinson David Margulies Nancy Allen Brian De Palma Mystery Romance Thriller
Stephen Sommers,Adventure Comedy Drama Family,the adventures of huck finn,Curtis Armstrong Frances Conroy Anne Heche Stephen Sommers Adventure Comedy Drama Family
Doug Liman,Comedy Crime,go,Sarah Polley Jay Mohr Scott Wolf Doug Liman Comedy Crime
Nicole Holofcener,Comedy Drama Romance,friends with money,Greg Germann Marin Hinkle Jake Cherry Nicole Holofcener Comedy Drama Romance
Robert Wise,Sci-Fi Thriller,the andromeda strain,David Wayne Paula Kelly Eric Christmas Robert Wise Sci-Fi Thriller
Louis Morneau,Horror Sci-Fi Thriller,bats,Leon Bob Gunton Ned Bellamy Louis Morneau Horror Sci-Fi Thriller
Caroline Link,Biography Drama,nowhere in africa,Merab Ninidze Juliane Köhler Matthias Habich Caroline Link Biography Drama
Steve McQueen,Drama,shame,Michael Fassbender Nicole Beharie James Badge Dale Steve McQueen Drama
Matthew Vaughn,Crime Drama Thriller,layer cake,Tom Hardy Sally Hawkins Jamie Foreman Matthew Vaughn Crime Drama Thriller
Sterling Van Wagenen,Drama Western,the work and the glory ii: american zion,Emily Podleski Eric Johnson Brenda Strong Sterling Van Wagenen Drama Western
Zal Batmanglij,Drama Thriller,the east,Alexander Skarsgård Julia Ormond Jason Ritter Zal Batmanglij Drama Thriller
Michael Mayer,Drama Romance,a home at the end of the world,Robin Wright Matt Frewer Sissy Spacek Michael Mayer Drama Romance
Hans Petter Moland,Drama,aberdeen,Charlotte Rampling Sara-Marie Maltha Stellan Skarsgård Hans Petter Moland Drama
Oren Moverman,Drama Romance War,the messenger,Steve Buscemi Yaya DaCosta Eamonn Walker Oren Moverman Drama Romance War
Ian Sharp,Action Adventure Drama Western,tracker,Ray Winstone Jed Brophy Temuera Morrison Ian Sharp Action Adventure Drama Western
Anton Corbijn,Biography Drama Music,control,Sam Riley Samantha Morton Alexandra Maria Lara Anton Corbijn Biography Drama Music
James Cameron,Action Sci-Fi,the terminator,Michael Biehn Brian Thompson Paul Winfield James Cameron Action Sci-Fi
Wolfgang Becker,Drama Romance,good bye lenin!,Florian Lukas Chulpan Khamatova Burghart Klaußner Wolfgang Becker Drama Romance
Tom Hooper,Biography Drama Sport,the damned united,Stephen Graham Mark Bazeley Maurice Roëves Tom Hooper Biography Drama Sport
